temperature,humidity,pressure,wind_speed,rain,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,year,month,day,day_of_week,aqi_lag_1,aqi_rolling_mean_3
26.4,76,1008.9,17.1,0.0,51.15833333333333,19.1375,306.9583333333333,16.925,6.5625,100.125,2024,4,7,3,74.04166666666667,69.37499999999999
27.2,68,1009.3,13.7,0.0,52.28333333333333,19.370833333333334,345.2083333333333,18.883333333333333,6.470833333333334,100.08333333333331,2024,4,8,1,67.41666666666667,71.37499999999999
27.9,57,1009.3,17.5,0.0,33.4625,13.904166666666669,312.8333333333333,17.166666666666668,5.729166666666667,84.04166666666667,2024,4,9,5,72.66666666666667,67.24999999999999
26.6,76,1008.8,16.1,0.0,40.62916666666667,17.083333333333332,265.75,14.920833333333334,6.129166666666666,61.208333333333336,2024,4,10,6,61.66666666666666,63.9722222222222
26.3,80,1009.1,12.1,0.0,45.775,17.779166666666665,289.2083333333333,17.462500000000002,6.604166666666667,79.33333333333333,2024,4,11,4,57.583333333333336,61.583333333333314
27.0,77,1008.2,17.0,0.0,35.5375,13.379166666666668,260.7916666666667,15.095833333333331,6.375,69.875,2024,4,12,0,65.5,60.63888888888888
27.9,78,1008.2,14.6,0.0,45.93333333333334,14.408333333333331,225.41666666666663,13.416666666666666,5.425,61.04166666666666,2024,4,13,2,58.833333333333336,58.36111111111109
26.6,80,1011.2,7.5,3.4,111.98333333333332,25.629166666666663,291.7083333333333,21.4125,14.4875,51.833333333333336,2024,4,14,3,50.75,57.19444444444443
26.4,76,1012.7,11.0,0.0,73.21249999999999,22.35,314.2083333333333,19.058333333333334,8.466666666666667,57.708333333333336,2024,4,15,1,62.0,66.44444444444441
28.1,73,1011.7,12.6,0.0,72.05833333333334,21.683333333333334,288.125,17.058333333333334,14.820833333333333,71.125,2024,4,16,5,86.58333333333333,69.90277777777776
28.8,57,1009.4,10.5,0.0,62.84166666666667,24.59583333333333,349.0416666666667,20.366666666666667,14.204166666666667,83.125,2024,4,17,6,61.125,76.27777777777776
27.2,78,1008.2,18.3,0.5,86.11666666666667,22.791666666666668,189.9583333333333,9.6625,5.3125,63.91666666666666,2024,4,18,4,81.125,70.63888888888887
26.7,71,1006.8,26.2,0.0,57.3875,25.616666666666664,206.7083333333333,6.3125,3.920833333333333,113.20833333333331,2024,4,19,0,69.66666666666667,77.18055555555554
27.7,66,1007.1,21.3,0.0,48.67916666666667,21.691666666666663,231.41666666666663,8.245833333333334,4.575,111.20833333333331,2024,4,20,2,80.75,75.87499999999999
27.5,72,1007.7,21.8,0.0,54.31666666666666,23.3125,233.7083333333333,9.191666666666666,4.7875000000000005,98.91666666666669,2024,4,21,3,77.20833333333333,76.99999999999999
27.5,76,1008.3,23.9,0.0,57.55,20.45833333333333,196.04166666666663,8.466666666666667,4.0875,70.5,2024,4,22,1,73.04166666666667,73.51388888888887
27.3,79,1007.4,19.8,0.0,56.55416666666667,19.79583333333333,201.41666666666663,9.141666666666667,4.525,78.79166666666667,2024,4,23,5,70.29166666666667,70.06944444444443
27.3,78,1006.9,18.3,0.0,51.10833333333333,19.320833333333333,216.9583333333333,10.2,5.120833333333333,72.79166666666667,2024,4,24,6,66.875,67.40277777777777
27.4,79,1006.9,21.1,0.0,46.14166666666667,16.591666666666665,216.2083333333333,11.0875,4.695833333333334,67.75,2024,4,25,4,65.04166666666667,65.47222222222221
28.1,75,1007.1,23.0,0.0,65.68333333333334,16.816666666666666,200.0833333333333,8.033333333333333,4.216666666666667,77.125,2024,4,26,0,64.5,62.486111111111086
27.7,77,1008.3,19.1,0.0,60.03333333333333,15.9125,219.8333333333333,10.241666666666667,4.8125,75.91666666666667,2024,4,27,2,57.91666666666666,60.861111111111086
28.4,75,1008.6,20.1,0.0,66.26666666666667,18.016666666666666,225.25,11.408333333333331,6.2125,77.79166666666667,2024,4,28,3,60.16666666666666,58.861111111111086
30.6,42,1009.2,20.3,0.0,118.32916666666668,26.879166666666663,259.7916666666667,13.525,6.3,90.0,2024,4,29,1,58.5,63.99999999999998
30.7,37,1008.3,21.8,0.0,127.33333333333331,30.20833333333333,255.66666666666663,12.129166666666668,6.566666666666666,102.29166666666669,2024,4,30,5,73.33333333333333,73.88888888888887
29.6,21,1006.2,20.2,0.0,146.82500000000002,35.112500000000004,257.625,13.220833333333331,9.279166666666669,100.45833333333331,2024,5,1,6,89.83333333333333,85.3333333333333
28.8,55,1005.5,14.7,0.0,114.87083333333334,38.175,325.375,17.258333333333333,11.5375,108.20833333333331,2024,5,2,4,92.83333333333331,100.61111111111109
29.1,71,1006.3,22.0,0.0,52.975,17.508333333333333,231.0833333333333,11.579166666666666,5.720833333333334,62.0,2024,5,3,0,119.16666666666669,96.30555555555554
29.1,70,1008.1,25.2,0.0,48.5625,21.46666666666667,207.875,8.291666666666666,4.379166666666666,79.75,2024,5,4,2,76.91666666666667,89.16666666666667
28.8,74,1006.6,23.0,0.0,48.958333333333336,18.225,191.41666666666663,7.370833333333334,3.891666666666667,64.70833333333333,2024,5,5,3,71.41666666666667,71.22222222222221
30.0,66,1005.5,21.1,0.0,60.6875,15.1125,208.5,10.5,4.579166666666667,69.5,2024,5,6,1,65.33333333333333,64.73611111111109
30.1,67,1006.2,18.7,0.0,62.0875,17.716666666666665,237.25,12.704166666666666,5.65,76.33333333333333,2024,5,7,5,57.458333333333336,61.861111111111086
29.6,78,1006.0,17.4,0.0,31.9375,9.320833333333333,205.25,11.779166666666669,5.670833333333333,61.16666666666666,2024,5,8,6,62.79166666666666,56.958333333333314
29.6,80,1005.0,18.5,0.0,33.52916666666667,9.904166666666669,194.9583333333333,10.125,5.5375000000000005,55.75,2024,5,9,4,50.625,50.81944444444442
29.3,78,1006.1,15.3,0.0,41.93333333333333,11.9375,210.66666666666663,10.066666666666666,6.279166666666666,58.375,2024,5,10,0,39.04166666666666,45.15277777777775
29.2,76,1007.8,13.9,0.0,58.64166666666667,16.370833333333334,206.5833333333333,10.416666666666666,7.274999999999999,68.29166666666667,2024,5,11,2,45.79166666666666,46.76388888888886
29.5,77,1007.9,14.4,0.0,68.15416666666667,15.379166666666668,222.0,11.475,7.545833333333333,85.58333333333333,2024,5,12,3,55.458333333333336,54.38888888888886
29.2,79,1007.7,13.9,0.0,100.325,19.258333333333333,225.91666666666663,12.8,8.191666666666666,79.875,2024,5,13,1,61.91666666666666,61.79166666666665
29.1,76,1009.0,12.9,0.0,66.63333333333334,19.129166666666663,241.125,15.133333333333333,8.654166666666667,82.5,2024,5,14,5,68.0,67.4861111111111
30.6,67,1009.2,16.5,0.0,38.87916666666667,13.991666666666667,197.4583333333333,11.383333333333333,5.916666666666667,75.41666666666667,2024,5,15,6,72.54166666666667,67.24999999999999
30.0,70,1009.4,18.0,0.0,39.37916666666667,15.570833333333333,231.375,12.441666666666668,5.604166666666667,67.29166666666667,2024,5,16,4,61.208333333333336,63.15277777777775
30.8,69,1007.4,19.5,0.0,48.3875,16.529166666666665,231.375,11.8375,4.966666666666667,68.79166666666667,2024,5,17,0,55.708333333333336,58.361111111111086
